date,Gross_Capital_Formation_const_2015usd,Gross_Capital_Formation_annual_growth,Gross_Fixed_Capital_Formation_const_2015usd,Gross_Fixed_Capital_Formation_annual_growth,household_consu,Country_ISO
1989,,,,25.8352966555863,298413920804.597,ARB
1988,,,,24.4964356286995,268757201467.207,ARB
1987,,,,25.8925659870874,286163498123.595,ARB
1986,,,,29.1792210779212,263298767981.126,ARB
1985,,,,28.1864143625826,251577861227.439,ARB
1984,,,,30.0922499481291,239134656028.885,ARB
1983,,,,33.3403971797775,226019566012.548,ARB
1982,,,,32.7263140622507,218371568836.414,ARB
1981,,,,29.2099628755976,193391040877.946,ARB
1980,,,,25.6420833294911,173560154292.906,ARB
1979,,,,28.9438167524086,145837926287.712,ARB
1978,,,,34.7833747249259,117312711673.544,ARB
1977,,,,31.7886894986044,101488014120.045,ARB
1976,,,,28.7500677996498,76323116708.0797,ARB
1975,,,,25.733492236754,64539570385.1155,ARB
1974,,,,16.0394499604108,47859194310.5806,ARB
1973,,,,20.2290285381352,37928659734.741,ARB
1972,,,,18.6083884762944,32920521492.7244,ARB
1971,,,,17.6774377235217,28726293701.6282,ARB
1970,,,,18.9231557440684,26078498582.149,ARB
1969,,,,19.2981121387097,22758264056.6373,ARB
1968,,,,,20989039045.8914,ARB
1967,,,,,,ARB
1966,,,,,,ARB
1965,,,,,,ARB
1964,,,,,,ARB
1963,,,,,,ARB
1962,,,,,,ARB
1961,,,,,,ARB
1960,,,,,,ARB
2021,,,,,,CSS
2020,,,,,,CSS
2019,,,,,,CSS
2018,,,,,,CSS
2017,,,,,,CSS
2016,,,,,,CSS
2015,,,,,,CSS
2014,,,,,,CSS
2013,,,,,,CSS
2012,,,,,,CSS
2011,,,,,,CSS
2010,,,,,,CSS
2009,,,,,,CSS
2008,,,,,,CSS
2007,,,,,,CSS
2006,,,,,,CSS
