"rowname","Estimate","Std. Error","t value","Pr(>|t|)","model","sector_industry","number_of_observations","r2","log_t_index"
"cl",0.0934367307890827,0.235541117315311,0.396689681419835,0.691601079247681,"fast_ppmlModel_FEVD_all","Agriculture",278692,"0.999542425232889",TRUE
"smcntry",10.3897139664037,2.48987817082298,0,0,"fast_ppmlModel_FEVD_all","Agriculture",278692,"0.999542425232889",TRUE
"log(distance)",-0.919047206727153,0.0622286939271594,-14.7688654337326,0.000000000000000000000000000000000000000000000000457155869091229,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",TRUE
"contiguity",0.392887903835664,0.101740684292309,3.86165973394542,0.000113021857168629,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",TRUE
"colony_of_destination_ever | colony_of_origin_ever",-0.0514662441766914,0.167626261205487,-0.307029720800137,0.758824378858904,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",TRUE
"agree_eia",0.184009027872286,0.111609585711954,1.64868480335714,0.099230054817733,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",TRUE
"member_eu_joint",0.821664500201393,0.179005561949532,4.59016184331217,0.00000445960892173793,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",TRUE
"member_wto_joint",1.10923778402536,0.185154352559248,5.99088149262069,0.00000000212765317273368,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",TRUE
"cl",0.0939016346152854,0.235385540903682,0.398926944513169,0.689951869818265,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",TRUE
"(Intercept)",-5.48657754075855,0.0206668506034093,-265.477195632965,0,"model_step_2_all","Agriculture",278742,"0.75324300246928",TRUE
"norm_log_t_index",9.05078754926024,0.0298559888924954,303.14814162914,0,"model_step_2_all","Agriculture",278742,"0.75324300246928",TRUE
"iso_hhi.y",-0.707174853291429,0.0196776904740676,-35.9378990244504,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000438888458604378,"model_step_2_all","Agriculture",278742,"0.75324300246928",TRUE
"(Intercept)",-5.5179724727224,0.020519366728809,-268.915339622797,0,"model_step_2","Agriculture",276784,"0.767844774111968",TRUE
"norm_log_t_index",9.1642335078085,0.0298674179607399,306.830457184303,0,"model_step_2","Agriculture",276784,"0.767844774111968",TRUE
"iso_hhi.y",-0.736739915056869,0.0196032686782115,-37.5825035686898,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203923146959723,"model_step_2","Agriculture",276784,"0.767844774111968",TRUE
"(Intercept)",-5.59805597382954,0.0204545628456782,-273.682503804394,0,"model_pesaran_all","Agriculture",18975,"0.792902700493406",TRUE
"norm_log_t_index",9.22303016119378,0.0313946650599135,293.776988656913,0,"model_pesaran_all","Agriculture",18975,"0.792902700493406",TRUE
"iso_hhi.y",-0.648061003533213,0.0199100804413835,-32.549391522608,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000126296623504909,"model_pesaran_all","Agriculture",18975,"0.792902700493406",TRUE
"(Intercept)",-5.60551914796451,0.020332573007679,-275.691578525131,0,"model_pesaran","Agriculture",18842,"0.797992244696814",TRUE
"norm_log_t_index",9.27785310403498,0.0312613344023698,296.783655637286,0,"model_pesaran","Agriculture",18842,"0.797992244696814",TRUE
"iso_hhi.y",-0.667676978735594,0.0199140613679726,-33.5279160989936,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000863488350852989,"model_pesaran","Agriculture",18842,"0.797992244696814",TRUE
"(Intercept)",-4.19719993192008,0.026860196566617,-156.260953694454,0,"TSFE_all","Agriculture",18975,"0.605285735217423",TRUE
"norm_log_t_index",7.80303357614169,0.0406290428577771,192.055559946524,0,"TSFE_all","Agriculture",18975,"0.605285735217423",TRUE
"iso_hhi.y",-0.924260612724792,0.0349087612488007,-26.4764654963672,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018390563508071,"TSFE_all","Agriculture",18975,"0.605285735217423",TRUE
"(Intercept)",-4.22330815809048,0.027232041438689,-155.085991904021,0,"TSFE","Agriculture",18842,"0.626749889266268",TRUE
"norm_log_t_index",7.85327128574723,0.0394021841522999,199.310557389211,0,"TSFE","Agriculture",18842,"0.626749889266268",TRUE
"iso_hhi.y",-0.919403262045089,0.0345974199743873,-26.5743301877923,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159264485942651,"TSFE","Agriculture",18842,"0.626749889266268",TRUE
"log(distance)",-0.86997776990492,0.0781352884397152,-11.1342491629265,0.000000000000000000000000000106378290871223,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998936757926434",TRUE
"contiguity",0.61121464371368,0.110060811960234,5.55342662685895,0.0000000284140106295178,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998936757926434",TRUE
"colony_of_destination_ever | colony_of_origin_ever",0.193804553448157,0.183720667833161,1.05488705072721,0.291491343449227,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998936757926434",TRUE
"agree_eia",0.301168849733869,0.136514495476637,2.20613092171894,0.0273875956054575,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998936757926434",TRUE
"member_eu_joint",0.47903597063273,0.160714444124548,2.98066532378069,0.00288012776929357,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998936757926434",TRUE
"member_wto_joint",-0.31502830729243,0.11303027112192,-2.78711449743073,0.00532361852934141,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998936757926434",TRUE
"cl",-1.09749028877057,0.32755296419197,-3.35057352168355,0.000808125120900275,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998936757926434",TRUE
"norm_log_t_index",9.15636228746332,0.349910304697311,26.1677411740817,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000394839520113844,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998936757926434",TRUE
"iso_hhi.y",-1.10513818076346,0.225132255927874,-4.90883981155287,0.000000924301242020104,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998936757926434",TRUE
"smcntry",9.36629012173552,2.36833882323331,0,0,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998936757926434",TRUE
"log(distance)",-0.898932874552401,0.0789750073937294,-11.3824981373003,0.00000000000000000000000000000650234031441114,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.483059210125022",TRUE
"contiguity",0.583844226367132,0.110390583341097,5.28889520008336,0.000000124527206964086,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.483059210125022",TRUE
"colony_of_destination_ever | colony_of_origin_ever",0.173324978425042,0.187082325616095,0.926463672365907,0.354217758350495,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.483059210125022",TRUE
"agree_eia",0.219807841392763,0.143584967703375,1.5308555269299,0.125823056984445,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.483059210125022",TRUE
"member_eu_joint",0.545415649509647,0.166715576763415,3.27153383084079,0.00107171428430313,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.483059210125022",TRUE
"member_wto_joint",-0.34853944625641,0.112975817961881,-3.08508008655454,0.00203812524077873,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.483059210125022",TRUE
"cl",-1.09787276771926,0.324136877042914,-3.38706529702854,0.000707990344961879,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.483059210125022",TRUE
"norm_log_t_index",9.48574851125546,0.371197809194447,25.5544302156333,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018329042305428,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.483059210125022",TRUE
"iso_hhi.y",-1.12131199177564,0.226020719366289,-4.96110265872769,0.000000707473046525559,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.483059210125022",TRUE
"log(distance)",-0.934910737816628,0.0558625223600499,-16.7359205835866,0.0000000000000000000000000000000000000000000000000000000000000179058538964437,"fast_ppmlModel_all_sample","Agriculture",394452,"0.999519274036222",FALSE
"contiguity",0.385950901045464,0.098896071636904,3.90259081738332,0.0000954597345677709,"fast_ppmlModel_all_sample","Agriculture",394452,"0.999519274036222",FALSE
"colony_of_destination_ever | colony_of_origin_ever",-0.073355885727012,0.15484305152139,-0.473743477710257,0.635687676022988,"fast_ppmlModel_all_sample","Agriculture",394452,"0.999519274036222",FALSE
"agree_eia",0.210747519029754,0.0959885866386714,2.19554768342479,0.028135026374746,"fast_ppmlModel_all_sample","Agriculture",394452,"0.999519274036222",FALSE
"member_eu_joint",0.711437162491538,0.165907614929977,4.2881525528036,0.0000180953913429394,"fast_ppmlModel_all_sample","Agriculture",394452,"0.999519274036222",FALSE
"member_wto_joint",1.04574424123732,0.118082290476465,8.85606331836648,0.000000000000000000892092764126365,"fast_ppmlModel_all_sample","Agriculture",394452,"0.999519274036222",FALSE
"cl",0.17203221967144,0.214972975800867,0.80025044557599,0.423574587381213,"fast_ppmlModel_all_sample","Agriculture",394452,"0.999519274036222",FALSE
"smcntry",4.26053380365419,2.76157992171446,0,0,"fast_ppmlModel_all_sample","Agriculture",394452,"0.999519274036222",FALSE
"log(distance)",-0.937674694389799,0.0559448357614124,-16.7607015308561,0.0000000000000000000000000000000000000000000000000000000000000119434423721051,"fast_ppmlModel_only_international","Agriculture",391930,"0.731206238861894",FALSE
"contiguity",0.381194467004965,0.0992378120977276,3.84122199942872,0.000122778579593836,"fast_ppmlModel_only_international","Agriculture",391930,"0.731206238861894",FALSE
"colony_of_destination_ever | colony_of_origin_ever",-0.0755010072111441,0.155132038067965,-0.486688682437513,0.626483982679336,"fast_ppmlModel_only_international","Agriculture",391930,"0.731206238861894",FALSE
"agree_eia",0.199368330086819,0.103606163748958,1.924290243676,0.0543315413865642,"fast_ppmlModel_only_international","Agriculture",391930,"0.731206238861894",FALSE
"member_eu_joint",0.727777207278757,0.170190391978573,4.2762531939546,0.0000190893757544169,"fast_ppmlModel_only_international","Agriculture",391930,"0.731206238861894",FALSE
"member_wto_joint",1.00122033578675,0.160446399231884,6.24021692340843,0.000000000445217097703432,"fast_ppmlModel_only_international","Agriculture",391930,"0.731206238861894",FALSE
"cl",0.17273582053083,0.214750008725788,0.804357688066008,0.421199422093796,"fast_ppmlModel_only_international","Agriculture",391930,"0.731206238861894",FALSE
"log(distance)",-0.915266373677508,0.0620299026188218,-14.7552444069094,0.000000000000000000000000000000000000000000000000555339075759857,"fast_ppmlModel_FEVD_all","Agriculture",278692,"0.999542425232889",FALSE
"contiguity",0.398554315462862,0.101591749573767,3.92309727054623,0.0000877470166762355,"fast_ppmlModel_FEVD_all","Agriculture",278692,"0.999542425232889",FALSE
"colony_of_destination_ever | colony_of_origin_ever",-0.0486642435990192,0.167291433816217,-0.290895011710407,0.771135015240165,"fast_ppmlModel_FEVD_all","Agriculture",278692,"0.999542425232889",FALSE
"agree_eia",0.197129982962099,0.104137752230616,1.89297328528419,0.0583776740054415,"fast_ppmlModel_FEVD_all","Agriculture",278692,"0.999542425232889",FALSE
"member_eu_joint",0.806922523042072,0.17522630683457,4.60503070354545,0.00000415266967140093,"fast_ppmlModel_FEVD_all","Agriculture",278692,"0.999542425232889",FALSE
"member_wto_joint",1.1214975502524,0.134267273724316,8.35272452582232,0.0000000000000000715662427640201,"fast_ppmlModel_FEVD_all","Agriculture",278692,"0.999542425232889",FALSE
"cl",0.0934367307890827,0.235541117315311,0.396689681419835,0.691601079247681,"fast_ppmlModel_FEVD_all","Agriculture",278692,"0.999542425232889",FALSE
"smcntry",10.3897139664037,2.48987817082298,0,0,"fast_ppmlModel_FEVD_all","Agriculture",278692,"0.999542425232889",FALSE
"log(distance)",-0.919047206727153,0.0622286939271594,-14.7688654337326,0.000000000000000000000000000000000000000000000000457155869091229,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",FALSE
"contiguity",0.392887903835664,0.101740684292309,3.86165973394542,0.000113021857168629,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",FALSE
"colony_of_destination_ever | colony_of_origin_ever",-0.0514662441766914,0.167626261205487,-0.307029720800137,0.758824378858904,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",FALSE
"agree_eia",0.184009027872286,0.111609585711954,1.64868480335714,0.099230054817733,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",FALSE
"member_eu_joint",0.821664500201393,0.179005561949532,4.59016184331217,0.00000445960892173793,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",FALSE
"member_wto_joint",1.10923778402536,0.185154352559248,5.99088149262069,0.00000000212765317273368,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",FALSE
"cl",0.0939016346152854,0.235385540903682,0.398926944513169,0.689951869818265,"fast_ppmlModel_FEVD","Agriculture",276734,"0.739569957905707",FALSE
"(Intercept)",-1.88261280640673,0.0330093658072736,-57.0326863411563,0,"model_step_2_all","Agriculture",278742,"0.171557302889884",FALSE
"norm_t_index",8.53927653827501,0.215967673726874,39.5396051219884,0,"model_step_2_all","Agriculture",278742,"0.171557302889884",FALSE
"iso_hhi.y",0.725568201049176,0.0481318060207333,15.0746099312507,0.00000000000000000000000000000000000000000000000000492473349789412,"model_step_2_all","Agriculture",278742,"0.171557302889884",FALSE
"(Intercept)",-1.8654779891948,0.0331963637600102,-56.195250861844,0,"model_step_2","Agriculture",276784,"0.173149194089186",FALSE
"norm_t_index",8.61002704960782,0.218767751563213,39.3569298403651,0,"model_step_2","Agriculture",276784,"0.173149194089186",FALSE
"iso_hhi.y",0.712753771545462,0.048430231327092,14.7171250686706,0.000000000000000000000000000000000000000000000000974545584622936,"model_step_2","Agriculture",276784,"0.173149194089186",FALSE
"(Intercept)",-1.94378012218091,0.0308291126969296,-63.0501481275035,0,"model_pesaran_all","Agriculture",18975,"0.179098839797643",FALSE
"norm_t_index",8.94865966411006,0.228040573022392,39.2415241967987,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000988131291682493,"model_pesaran_all","Agriculture",18975,"0.179098839797643",FALSE
"iso_hhi.y",0.717151464326546,0.0459422546909413,15.6098447747265,0.00000000000000000000000000000000000000000000000000000146792381265853,"model_pesaran_all","Agriculture",18975,"0.179098839797643",FALSE
"(Intercept)",-1.92617337412102,0.0309873260758771,-62.1600382493313,0,"model_pesaran","Agriculture",18842,"0.180016004086066",FALSE
"norm_t_index",9.00393939935541,0.22986344046212,39.1708197756624,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000152172218919104,"model_pesaran","Agriculture",18842,"0.180016004086066",FALSE
"iso_hhi.y",0.703098002160063,0.0462217113637154,15.2114229745289,0.000000000000000000000000000000000000000000000000000646668333600062,"model_pesaran","Agriculture",18842,"0.180016004086066",FALSE
"(Intercept)",-0.292952745759467,0.0292855439455052,-10.0033226736234,0.0000000000000000000000170666302131273,"TSFE_all","Agriculture",18975,"0.338194374772612",FALSE
"norm_t_index",3.95126179678762,0.0280760136641184,140.734430608908,0,"TSFE_all","Agriculture",18975,"0.338194374772612",FALSE
"iso_hhi.y",0.342312864807853,0.0397697826880899,8.60736070630749,0.00000000000000000810765674548825,"TSFE_all","Agriculture",18975,"0.338194374772612",FALSE
"(Intercept)",-0.287525656367068,0.0290547965719923,-9.89597898765643,0.0000000000000000000000499323491560586,"TSFE","Agriculture",18842,"0.356519959630825",FALSE
"norm_t_index",3.97627924867626,0.0278291907176194,142.881598283732,0,"TSFE","Agriculture",18842,"0.356519959630825",FALSE
"iso_hhi.y",0.351788194543447,0.040215197542203,8.74764308130702,0.00000000000000000237674919733433,"TSFE","Agriculture",18842,"0.356519959630825",FALSE
"log(distance)",-0.526685437903707,0.104630713284792,-5.0337555901978,0.000000485668798816958,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998302471712459",FALSE
"contiguity",1.12383535245951,0.180418327847847,6.22905314479623,0.000000000479822571718615,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998302471712459",FALSE
"colony_of_destination_ever | colony_of_origin_ever",0.526146633119834,0.188837531060809,2.78623973827747,0.00533800069723812,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998302471712459",FALSE
"agree_eia",0.727598145004003,0.155122699886196,4.6904685486895,0.00000274610375108887,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998302471712459",FALSE
"member_eu_joint",1.39615132752416,0.196014887551469,7.12268004213489,0.0000000000010990363856628,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998302471712459",FALSE
"member_wto_joint",0.670656907901367,0.139881524509567,4.7944638168102,0.00000164432537178083,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998302471712459",FALSE
"cl",-1.23171135451066,0.363815702418041,-3.3855365404085,0.000711931621865902,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998302471712459",FALSE
"norm_t_index",4.74262304978721,0.218278755402333,21.7273689372361,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000250403612864849,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998302471712459",FALSE
"iso_hhi.y",0.063197675943458,0.193291886730026,0.326954622941455,0.743706061567374,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998302471712459",FALSE
"smcntry",9.74016588166542,1.90709761121625,0,0,"fast_ppmlModel_wo_importer_all","Agriculture",278692,"0.998302471712459",FALSE
"log(distance)",-0.549633697597248,0.10680066027811,-5.14635111960913,0.000000268454947889609,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.299162925113816",FALSE
"contiguity",1.11779236870884,0.179599753017986,6.22379680331129,0.000000000496231617550387,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.299162925113816",FALSE
"colony_of_destination_ever | colony_of_origin_ever",0.51423354121703,0.188539678749291,2.72745527428647,0.00638881084415743,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.299162925113816",FALSE
"agree_eia",0.696607669367233,0.161883833155454,4.30313302933898,0.0000169307667273055,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.299162925113816",FALSE
"member_eu_joint",1.43891067711867,0.205851589228592,6.99003919528064,0.00000000000284651264498838,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.299162925113816",FALSE
"member_wto_joint",0.6558507025606,0.139500803726646,4.70141164093755,0.00000260325400664601,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.299162925113816",FALSE
"cl",-1.29880511223707,0.372655835235208,-3.48526707335014,0.0004928417442816,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.299162925113816",FALSE
"norm_t_index",5.0136150158632,0.238303342788253,21.0387943249209,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000451652670789632,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.299162925113816",FALSE
"iso_hhi.y",0.0501067311814325,0.194129780719495,0.258109451294511,0.796325452447919,"fast_ppmlModel_wo_importer","Agriculture",276734,"0.299162925113816",FALSE
