"rowname","Estimate","Std. Error","t value","Pr(>|t|)","model","sector_industry","number_of_observations","r2","log_t_index"
"log(distance)",-1.31674701926251,0.0949319580628459,-13.8704293699579,0.000000000000000000000000000000000000000000164933120542847,"fast_ppmlModel_all_sample","Mining_Energy",312771,"0.989323979057802",TRUE
"contiguity",0.295214767343777,0.210595794913596,1.4018075121818,0.160990939532608,"fast_ppmlModel_all_sample","Mining_Energy",312771,"0.989323979057802",TRUE
"colony_of_destination_ever | colony_of_origin_ever",0.521972208087858,0.209874221695026,2.48707156063383,0.01288943776716,"fast_ppmlModel_all_sample","Mining_Energy",312771,"0.989323979057802",TRUE
"agree_eia",0.536809538480361,0.128088538505808,4.19092562646438,0.0000279218365405593,"fast_ppmlModel_all_sample","Mining_Energy",312771,"0.989323979057802",TRUE
"member_eu_joint",-0.49636027218933,0.336343517249235,-1.47575394420794,0.14002842618681,"fast_ppmlModel_all_sample","Mining_Energy",312771,"0.989323979057802",TRUE
"member_wto_joint",0.895511854089974,0.22459669082234,3.98719968139842,0.0000671364705310119,"fast_ppmlModel_all_sample","Mining_Energy",312771,"0.989323979057802",TRUE
"cl",0.361674679527979,0.335017999215632,1.07956790493274,0.280349912108599,"fast_ppmlModel_all_sample","Mining_Energy",312771,"0.989323979057802",TRUE
"smcntry",12.2550204955002,2.34847302032094,0,0,"fast_ppmlModel_all_sample","Mining_Energy",312771,"0.989323979057802",TRUE
"log(distance)",-1.31853096188315,0.0947690394818447,-13.9130982976328,0.0000000000000000000000000000000000000000000917526867242358,"fast_ppmlModel_only_international","Mining_Energy",311914,"0.709427509022062",TRUE
"contiguity",0.297051569429654,0.210203732656888,1.4131602977504,0.15762694264103,"fast_ppmlModel_only_international","Mining_Energy",311914,"0.709427509022062",TRUE
"colony_of_destination_ever | colony_of_origin_ever",0.522172285952112,0.209733270482478,2.48969696010026,0.0127947061282865,"fast_ppmlModel_only_international","Mining_Energy",311914,"0.709427509022062",TRUE
"agree_eia",0.537893018058647,0.128343693575624,4.19103582788587,0.0000279089760798524,"fast_ppmlModel_only_international","Mining_Energy",311914,"0.709427509022062",TRUE
"member_eu_joint",-0.504077540560357,0.335788962560989,-1.5011736440527,0.133329264416913,"fast_ppmlModel_only_international","Mining_Energy",311914,"0.709427509022062",TRUE
"member_wto_joint",0.957552865339132,0.227514941372539,4.20874716870225,0.0000258111762704888,"fast_ppmlModel_only_international","Mining_Energy",311914,"0.709427509022062",TRUE
"cl",0.356876548068496,0.334572850680218,1.06666320158056,0.286139127804674,"fast_ppmlModel_only_international","Mining_Energy",311914,"0.709427509022062",TRUE
"log(distance)",-1.451652065639,0.107663133252616,-13.4832790183888,0.0000000000000000000000000000000000000000352687856404576,"fast_ppmlModel_FEVD_all","Mining_Energy",222630,"0.989936006680999",TRUE
