"Reference_Name","ISO_639","Language_Type","DLS_Level","Raw_Score","Adjusted_Score","Proportional_Score","Content","Encoding","Surface","Localized","Meaning","Speech","Assistant"
"Armenian","hye","Living","Vital",22,21.3231,0.775385,4,4,4,4,3,2.3231,0
"Sinhala","sin","Living","Vital",22,21.3231,0.775385,4,4,4,4,3,2.3231,0
"Amharic","amh","Living","Vital",21,20.4196,0.74253,4,4,4,3.6923,3,1.7273,0
"Assamese","asm","Living","Vital",21,20.4196,0.74253,4,4,4,3.6923,3,1.7273,0
"Scottish Gaelic","gla","Living","Vital",21,20.4196,0.74253,4,4,4,3.6923,3,1.7273,0
"Georgian","kat","Living","Vital",21,20.4196,0.74253,4,4,4,3.6923,3,1.7273,0
"Halh Mongolian","khk","Living","Vital",21,20.4196,0.74253,4,4,4,3.6923,3,1.7273,0
"Burmese","mya","Living","Vital",21,20.4196,0.74253,4,4,4,3.6923,3,1.7273,0
"Odia","ory","Living","Vital",21,20.4196,0.74253,4,4,4,3.6923,3,1.7273,0
"Northern Uzbek","uzn","Living","Vital",21,20.4196,0.74253,4,4,4,3.6923,3,1.7273,0
"Belarusian","bel","Living","Vital",21,19.8173,0.720629,4,4,4,3.6923,3.125,1,0
"Esperanto","epo","Constructed","Vital",20,18.8472,0.685354,4,4,3.6528,2.875,3,1.3194,0
"Northern Kurdish","kmr","Living","Vital",20,18.8472,0.685354,4,4,3.6528,2.875,3,1.3194,0
"Latin","lat","Ancient","Vital",20,18.8472,0.685354,4,4,3.6528,2.875,3,1.3194,0
"Uighur","uig","Living","Vital",20,18.8472,0.685354,4,4,3.6528,2.875,3,1.3194,0
"Lao","lao","Living","Vital",20,18.7361,0.681313,4,4,3.6528,3.2083,3,0.875,0
"Tatar","tat","Living","Vital",20,18.7361,0.681313,4,4,3.6528,3.2083,3,0.875,0
"Tajik","tgk","Living","Vital",20,18.7361,0.681313,4,4,3.6528,3.2083,3,0.875,0
"Kinyarwanda","kin","Living","Vital",19,17.5782,0.639207,4,4,3.4167,3,2.7,0.4615,0
"Sindhi","snd","Living","Vital",19,17.5782,0.639207,4,4,3.4167,3,2.7,0.4615,0
"Turkmen","tuk","Living","Vital",19,17.5782,0.639207,4,4,3.4167,3,2.7,0.4615,0
"Zulu","zul","Living","Vital",19,17.5782,0.639207,4,4,3.4167,3,2.7,0.4615,0
"Javanese","jav","Living","Vital",19,17.2792,0.628334,4,4,3,3,2.7,0.5792,0
"Hausa","hau","Living","Vital",19,17.1755,0.624563,4,4,3.4167,3.0588,2.7,0,0
"Breton","bre","Living","Vital",18,16.7999,0.610905,3.9412,3.8421,3.5625,3,2.4541,0,0
"Western Frisian","fry","Living","Vital",18,16.7999,0.610905,3.9412,3.8421,3.5625,3,2.4541,0,0
"Igbo","ibo","Living","Vital",18,16.7999,0.610905,3.9412,3.8421,3.5625,3,2.4541,0,0
"Southern Pashto","pbt","Living","Vital",18,16.7999,0.610905,3.9412,3.8421,3.5625,3,2.4541,0,0
"Plateau Malagasy","plt","Living","Vital",18,16.7999,0.610905,3.9412,3.8421,3.5625,3,2.4541,0,0
"Xhosa","xho","Living","Vital",18,16.7999,0.610905,3.9412,3.8421,3.5625,3,2.4541,0,0
"Yoruba","yor","Living","Vital",18,16.7999,0.610905,3.9412,3.8421,3.5625,3,2.4541,0,0
"Faroese","fao","Living","Vital",18,16.7374,0.608632,3.9412,3.8421,3,3,2.4541,0.5,0
"Haitian","hat","Living","Vital",18,16.7374,0.608632,3.9412,3.8421,3,3,2.4541,0.5,0
"Hawaiian","haw","Living","Vital",18,16.7374,0.608632,3.9412,3.8421,3,3,2.4541,0.5,0
"Maori","mri","Living","Vital",18,16.7374,0.608632,3.9412,3.8421,3,3,2.4541,0.5,0
"Cusco Quechua","quz","Living","Vital",18,16.7374,0.608632,3.9412,3.8421,3,3,2.4541,0.5,0
"Somali","som","Living","Vital",18,16.7374,0.608632,3.9412,3.8421,3,3,2.4541,0.5,0
"Interlingua (International Auxiliary Language Association)","ina","Constructed","Vital",18,16.7347,0.608533,3.9412,3.8421,3.5625,3,1.8889,0.5,0
"Occitan (post 1500)","oci","Living","Vital",18,16.7347,0.608533,3.9412,3.8421,3.5625,3,1.8889,0.5,0
"Sundanese","sun","Living","Vital",18,16.2436,0.590676,3.9412,3.8421,3,3,1.8889,0.5714,0
"Pedi","nso","Living","Vital",17,16.181,0.588401,4,3.9231,3.3913,3,1.8667,0,0
"Romansh","roh","Living","Vital",17,16.181,0.588401,4,3.9231,3.3913,3,1.8667,0,0
"Tigrinya","tir","Living","Vital",17,16.181,0.588401,4,3.9231,3.3913,3,1.8667,0,0
"Wolof","wol","Living","Vital",17,16.181,0.588401,4,3.9231,3.3913,3,1.8667,0,0
"Asturian","ast","Living","Vital",17,16.1551,0.587456,4,3.9231,2.8199,3,1.8667,0.5455,0
"Cebuano","ceb","Living","Vital",17,16.1096,0.585804,4,3.9231,2.8199,3,2.3667,0,0
"Nyanja","nya","Living","Vital",17,16.1096,0.585804,4,3.9231,2.8199,3,2.3667,0,0
"Shona","sna","Living","Vital",17,16.1096,0.585804,4,3.9231,2.8199,3,2.3667,0,0
"Eastern Yiddish","ydd","Living","Vital",17,16.1096,0.585804,4,3.9231,2.8199,3,2.3667,0,0
"Cherokee","chr","Living","Vital",17,15.8598,0.57672,4,3.9231,3.3913,3,1,0.5455,0
"Tswana","tsn","Living","Vital",17,15.8598,0.57672,4,3.9231,3.3913,3,1,0.5455,0
"Paraguayan Guaraní","gug","Living","Vital",17,15.8034,0.574669,4,3,3.3913,3,1.8667,0.5455,0
"Southern Sotho","sot","Living","Vital",17,15.7579,0.573016,4,3,3.3913,3,2.3667,0,0
"Aragonese","arg","Living","Vital",17,15.482,0.562981,4,3,2.8199,3,1.8667,0.7955,0
"Konkani (individual language)","knn","Living","Vital",17,15.4051,0.560184,3,3.9231,2.8199,3,1.8667,0.7955,0
"Yue Chinese","yue","Living","Vital",19,15.3968,0.559885,4,4,2,2,2.7,0.638,0.0588
"Dari","prs","Living","Vital",16,14.3672,0.522445,4,3.75,2.3117,2.875,1.4306,0,0
"Tonga (Tonga Islands)","ton","Living","Vital",16,14.3672,0.522445,4,3.75,2.3117,2.875,1.4306,0,0
"Luxembourgish","ltz","Living","Vital",16,14.1349,0.513997,4,3.75,1.8571,2.875,1.6528,0,0
"West Central Oromo","gaz","Living","Vital",16,14.0339,0.510324,4,3.75,2.3117,2.875,0.875,0.2222,0
"Lower Sorbian","dsb","Living","Vital",15,13.9189,0.506143,4,3.6778,1.7273,2.8889,1.625,0,0
"Upper Sorbian","hsb","Living","Vital",15,13.9189,0.506143,4,3.6778,1.7273,2.8889,1.625,0,0
"Lingala","lin","Living","Vital",16,13.9117,0.50588,4,3.75,2.4117,2.875,0.875,0,0
"Corsican","cos","Living","Ascending",16,13.8395,0.503253,4,3,2.3117,2.875,1.6528,0,0
"Bemba (Zambia)","bem","Living","Ascending",15,13.6273,0.495537,4,3.6778,2.0606,2.8889,1,0,0
"Sanskrit","san","Ancient","Ascending",15,13.6273,0.495537,4,3.6778,2.0606,2.8889,1,0,0
"Friulian","fur","Living","Ascending",15,13.5162,0.491497,4,3.6778,1.7273,2.8889,1,0.2222,0
"Northern Sami","sme","Living","Ascending",15,13.4774,0.490087,4,3.6778,1,2.8889,1.9107,0,0
"Campidanese Sardinian","sro","Living","Ascending",15,13.4269,0.48825,4,2.9,1.7273,2.8889,1.9107,0,0
"Central Kurdish","ckb","Living","Ascending",16,13.3889,0.486869,4,3.75,1,2.875,1.4306,0.3333,0
"Ganda","lug","Living","Ascending",15,13.3634,0.485941,4,3.6778,2.0606,2,1.625,0,0
"Standard Malay","zsm","Living","Ascending",15,11.9884,0.435941,4,2.9,1.7273,2.8889,0,0.4722,0
"South Ndebele","nbl","Living","Ascending",13,11.8175,0.429727,4,3.5534,1.625,1.9,0.7391,0,0
"Swati","ssw","Living","Ascending",13,11.8175,0.429727,4,3.5534,1.625,1.9,0.7391,0,0
"Tsonga","tso","Living","Ascending",13,11.8175,0.429727,4,3.5534,1.625,1.9,0.7391,0,0
"Venda","ven","Living","Ascending",13,11.8175,0.429727,4,3.5534,1.625,1.9,0.7391,0,0
"Kashmiri","kas","Living","Ascending",13,11.6925,0.425181,4,3.5534,1,2.4,0.7391,0,0
"Ossetian","oss","Living","Ascending",13,11.6925,0.425181,4,3.5534,1,2.4,0.7391,0,0
"Walloon","wln","Living","Ascending",13,11.6925,0.425181,4,3.5534,1,2.4,0.7391,0,0
"Tibetan","bod","Living","Ascending",13,11.5784,0.421031,4,3.5534,1.625,2.4,0,0,0
"Pulaar","fuc","Living","Ascending",13,11.5784,0.421031,4,3.5534,1.625,2.4,0,0,0
"Venetian","vec","Living","Ascending",13,11.5784,0.421031,4,3.5534,1.625,2.4,0,0,0
"Kalaallisut","kal","Living","Ascending",13,11.5771,0.420986,4,3.5534,1,1.9,0.7391,0.3846,0
