"","year","ISO_639","t_index","internet_users","total_pop","internet_penetration","internet_users_consumption"
"1",2001,"afr",0.000289033712727344,481377.487319218,48408547,0.00994405982313862,6867.32986832891
"2",2001,"als",0.000212515488248335,106274.421595284,11102466,0.00957214564721783,22871.0982887562
"3",2001,"arb",0.00325088908381038,2725693.7600206,302213157,0.00901911017732627,13641.127724592
"4",2001,"asm",0.00000058823623080427,1722.22756710034,603643,0.00285305647062972,3906.4872996285
"5",2001,"azj",0.0000315288954484669,24784.958917456,8111200,0.00305564638,14549.4218493007
"6",2001,"bel",0.0000216727075016188,106987.073592455,9928549,0.0107757008191685,2316.89869182549
"7",2001,"ben",0.000636273261878761,946337.192899695,1206888733,0.000784113039606689,7689.93992956474
"8",2001,"bos",0.000259033920687944,143454.890547825,11797807,0.0121594539178193,20652.206726238
"9",2001,"bul",0.000176617358851168,609679.736180214,8009142,0.07612297749,3313.26984901812
"10",2001,"ceb",0.000730514716262659,2010947.72304439,79672869,0.0252400566,4154.83107914226
"11",2001,"ces",0.00108189682891589,1501552.02167053,10216605,0.1469717212,8240.82416947129
"12",2001,"ckb",0.00000744630392336553,3165.58409696425,24208178,0.000130765070257012,26903.7045936754
"13",2001,"cmn",0.0078803399708771,33584526.1401128,1273046287,0.0263812294046719,2683.68112784299
"14",2001,"dan",0.00462840985368194,2302000.53191616,5358783,0.4295752472,22995.9615040649
"15",2001,"deu",0.0529151029806925,27003301.2998618,99445739,0.271538042468182,22412.3794432805
"16",2001,"ekk",0.000125503474502125,320669.717621687,1388115,0.231010915969993,4476.33914491053
"17",2001,"ell",0.0026008420094292,1330039.3006269,11822406,0.112501575451469,22365.2975565571
"18",2001,"eng",0.499247693661147,165362802.216711,479229266,0.345059899193867,34530.544542686
"19",2001,"fin",0.0037074749822213,2236309.69902707,5188008,0.4310536335,18961.4464925118
"20",2001,"fra",0.0501867594418223,24629372.4568972,161337629,0.152657334866978,23305.6377050051
"21",2001,"gug",0.0000643739980934094,35112.7602405325,5428442,0.00646829426206128,20968.6608240798
"22",2001,"guj",0.000178183270332612,443828.464578236,1075814017,0.000412551293778352,4591.73648911404
"23",2001,"hat",0.000131729116116642,29341.6073639206,8608810,0.00340832326,51347.9440843983
"24",2001,"hau",0.000172657439248822,130021.210765224,198468863,0.00065512145734026,15187.8490683483
"25",2001,"heb",0.00185444127184939,819607.780351527,9436784,0.0868524468030133,25878.0885690198
"26",2001,"hin",0.00110016814641006,2735847.79912351,1080950450,0.00253096504018618,4599.30612339913
"27",2001,"hrv",0.00108147517733061,875907.024760008,16097449,0.0544127845822035,14121.5942651745
"28",2001,"hun",0.00105152659156425,1683734.09599106,23608736,0.0713182652383871,7142.85668321773
"29",2001,"hye",0.0000233336838322184,49759.5766529156,3050686,0.01631094667,5363.29660437433
"30",2001,"ibo",0.000101357632501852,34222.8313952685,145150975,0.000235774037310245,33873.9391650451
"31",2001,"ind",0.000294982352596127,1291897.88263601,214427419,0.00602487260566248,2611.5180482878
"32",2001,"isl",0.00029340198582722,140754.231045982,284968,0.4939299537,23841.1265774966
"33",2001,"ita",0.0342724534251033,16219753.8058895,64203954,0.252628581191268,24167.1879751527
"34",2001,"jav",0.000470041973062052,2058584.94382654,214427419,0.0096003811146304,2611.5180482878
"35",2001,"jpn",0.134866866211355,48993130.0628814,127149000,0.3853206086,31484.3885146955
"36",2001,"kan",0.000139239755616739,348067.399411445,1075000094,0.000323783599047243,4575.35806138331
"37",2001,"kat",0.000025982718477443,39836.4071057863,4014373,0.00992344436,7459.84165143851
"38",2001,"kaz",0.0000750982288530122,108663.014694038,14858335,0.00731326993865987,7904.47677808618
"39",2001,"khk",0.0000105861394087169,40001.6532365497,2419594,0.01653238239,3026.80784734194
"40",2001,"kin",0.0000541476445072982,71717.505072253,87574204,0.000818934135813019,8635.34273465258
"41",2001,"kir",0.00000711336001062419,111845.026142662,4945100,0.0226173436619405,727.41674939246
"42",2001,"kmr",0.000244476373090257,348924.29948071,88400421,0.00394708866240253,8013.65906630082
"43",2001,"kor",0.0210793274325214,26811512.824,47370164,0.566,8992.08934853015
"44",2001,"lao",0.0000130196668376149,9827.29161594224,5409584,0.00181664461,15152.7413707917
"45",2001,"lin",0.0000550322138968915,6292.34666317284,55368480,0.000113644923306055,100029.829005924
"46",2001,"lit",0.000139506258226021,249182.414832011,3470818,0.07179356994,6403.26511360615
"47",2001,"ltz",0.000337195713921136,112887.645932384,441525,0.255676679536569,34163.3784597217
"48",2001,"lvs",0.0000801566812856473,124613.415987354,2337170,0.053318079552345,7356.98904922223
"49",2001,"mal",0.000111391804493391,278453.919529156,1075000094,0.000259026879237795,4575.35806138331
"50",2001,"mar",0.000271903281078307,674341.124482792,1076196381,0.000626596721925598,4611.68871994811
"51",2001,"mkd",0.0000385187582118641,70573.4643149626,2034882,0.03468184608,6242.46367864003
"52",2001,"mlt",0.0000953162345507014,70264.9496951296,393028,0.1787784832,15515.0550442709
"53",2001,"nld",0.0175384062687146,9803512.87205053,26332750,0.372293545947557,20461.3170927227
"54",2001,"nor",0.00547839217017988,2888800.64,4513751,0.64,21690.0588030315
"55",2001,"npi",0.0000406708548870038,60612.5883543902,24950756,0.00242928864978641,7674.42160548141
"56",2001,"nso",0.000180919065424474,303408.86474141,45571272,0.00665789764967302,6819.95098271564
"57",2001,"nya",0.00000573251478752793,49658.0434773394,40346082,0.00123080212540438,1320.32474399661
"58",2001,"ory",0.000109791347532279,274453.144823277,1075000094,0.000255305228674033,4575.35806138331
